creator_name,userid,comment
The Dodo,663030,Darth Vader and skywalker HAHAHAHAHAHAHAHAdog name:Trooper
Diecast And More,684159,Both awesome attachments. Wish they werent so expensive
Rita Garris,2053150,This guy is so cute :)
MonkeyBoo,1197003,Cutest thing ever I want one
The Fatman,1239309,Gotta love the wood. What?
Brave Wilderness,2056631,What state are you in?
The Dodo,472991,eAT mOr ChiKEn...
technoendo,1179105,Wow that must have been amazing! Nice shots! Also its interesting how its illegal to touch the whale sharks; I didnt know that such laws were in place.
Brian Barczyk,1091386,I told my mum if I can by a snake from you she said no with a turtle a fish two birds and a dog with a tarantula coming in you want a snake? Fine but for Christmas! I want one that i will like me XD Have any suggestions for a 10 year old?
Cole & Marmalade,215882,WOW cats are every were you look thats what my house looks like🐈🐈🐈🐱🐱🐱🐈🐱🐈🐱😸😸😸😸😸
Brian Barczyk,715415,Smog sounds better and I just talked my boyfriend into getting me a little guy  of course Ill need help with it because Im still a chicken thanks Brian for doing your vlogs
Think Like A Horse,1573275,Loves Ricks NO BS approach to horse  sense. LOL!!!!!!!!!!!!!
prehistoricpetstv,1297986,Been watching your channel for the last couple weeks. Learning a lot. Hope the best for you guys!!!
TCTV,1093178,Cho j khog so nó can minh hak ghê
Loki the Red Fox,145481,He looks so fluffy I just wanna hug him
Robin Seplut,357045,1:09 Nomnomnom
Brave Wilderness,755786,Im Coyote Peterson and Im about to run my fingernails across a chalkboard..
Brian Barczyk,2083974,if you look at the egg box at 4:33 it is a little blurry but do you see the baby snake escaping?
The Dodo,2259500,Scooby doo
Taylor Nicole Dean,2402878,I knew you where right
Gnat Vova,694861,Wow that looks pretty heavy. Great job.
Brave Wilderness,2311494,That seastar looks like a pokemon
My BB Bunny,86429,Too  cute
Gohan The Husky,1346092,😍😍😍😍
Cat Man Chris,1143731,I love it
The Dodo,874411,letting go is the tougest part  when fostering why theres a lot of foster fail cases x)
Brave Wilderness,669980,HOW MANY TIMES HAVE YOU BEEN BITTEN?-(EDIT: WHY DID I DO THIS)-
Brave Wilderness,767718,12:38 close your eye and listen
AcuaTV,1248789,No vi los alevinos por ningún ladosolo usted dándose pantalla..TOME SU DISLIKE!
Talking Kitty Cat,1851537,NEW VID. YAY
Amethyst Is Cutie,623239,Do  my request that  i coment  you in caillou  clones himself plsssssssssssssssssssssss
Brave Wilderness,1907244,You are so brave
Taylor Nicole Dean,2179913,How come you remember all there names
Kitten Academy,32928,Is there a theme for these kittens names or just random names this time?
Taylor Nicole Dean,1413574,God damn Taylor you are one fine women❤
The Dodo,1468968,Oh my goshhe made it ! LOL i thought he wouldnt make it..
Jeb Corliss,2286853,I think shes too soon released the parachute. am I right?
Brave Wilderness,544945,You should meet up with tfox hes in Hawaii too
wolfsrule100,2387585,Oh!! Poor Princess! I hope she is better and congrats on getting your new phone!! I do enjoy your videos. Keep making more!!
The Pet Collective,2215805,Fun clips tho I cant tell whats hipster about them...
꼬부기아빠 My Pet Diary,483105,우앙ㅋㅋㅋㅋㅋ 털이 한올한올 까진 아니구 넘 선명하네요앞으로 더 기대됩니다!!!!
Brave Wilderness,2521344,while I like the lizard and the coyote statue (maybe without the googly eyes) I think that the actual fossil for 65$ is an incredible bargain and an awesome collection item if legit. I vote for the fossil.
Big Cat Rescue,173532,Awwww i want one.
Viktor Larkhill,750932,I’m crying he looks so scared!
Braveheart Fighting Arms,2213062,The sights are usually set at 200 yardsso that way your shooting high.
Davlina Art,1357541,Super beau hâte de voir la partie 2 ;-)
PureEntertainment,243339,A black kid walking around with a gun. Typical!
Brave Wilderness,1712695,I like the raptor limb
Rahbinah Rastaban,1462828,my friend is a Libra actually we started a music label together I started noticing really weird habits of his and also certain times his voice would slip and definition what I really mean is he would kind of sort of sound feminine and he wasnt really manly even though he would try to play that role then I figured out that he must be gay usually most Libra men are gay
courtreezy,1573766,omg i literally love you so much!!! you go girl!
Taylor Nicole Dean,1310821,Cheese is my boy.
Hope For Paws - Official Rescue Channel,534852,Thank you for K9 angels!
Cole & Marmalade,1222661,Ive never seen a person with such good heart as you. Thank you for making the world better Chris.
Hope For Paws - Official Rescue Channel,1846804,Delightful!
Brave Wilderness,582682,I really should have chosen another video to watch before going to sleep.
Viral Maniacs,359480,Интересно былобы услышать всех исполнителей вместе
Mr. Max T.V.,911519,we all have days where we want to hit ourselves in the head with a hammer.
Hope For Paws - Official Rescue Channel,2434954,To everyone at HOPE FOR PAWS and all their FRIENDS u all do an amazing job rescuing fostering and rehoming all these homeless animals. Thank u for everything u do.
Brave Wilderness,578081,OMG😬😬😬😬😬😬😬😬😬😬😬😬😬😬😬😬😬😬😬😬😬😬😬😬😬😬😲😲😲😲😲😲😲😲😲😲😲😲😲😲😲😲😲😲
Mạnh CFM,2047666,bác này bình luận hay hơn ân st nhiều chúc cho channel của bác  ngày càng lớn mạnh
Brave Wilderness,2535045,They should have censored the PUKE
RaleighLink14,168262,Lol Raleigh I found your channel through a hate page and now Im subscribed and love you vids.😂
yeri guerrero,2396082,Interesante! Te pido de favor que vayas enumerando los temas asi lo podemos escuchar por el orden de la secuencia.
Taylor Nicole Dean,203185,i feel bad for laughing so hard when he held the fish so the fish could eat
Brian Barczyk,327530,Tick tock
Brave Wilderness,2317718,Also...he is SUPER careful and respectful. Even while being stung or bitten. (And yes I am literally taking notes while I watch these at my desk...)
Brave Wilderness,1670737,Name it Rodger
JOHN 3:16 Video Ministry,1291977,What a waste of time
Olympus Reptiles,1361323,😍😍😍 lurve your new additions and that mystic potion is stunning.
courtreezy,1386676,ayyyyyeee she back
Brave Wilderness,2339990,My winner is the raptor fossil!! It would be so cool to own one!
Robin Seplut,998351,Soo adorable ❤️😍😍😍😍😍😍😍
Talking Kitty Cat,651521,You all are amazing
Solid Gold Aquatics,270719,love your room...
HammyLux,2165348,dont ever ever ever change ur channel nam ei love it to much i made a master piece in a game animal jam of u u are my favorite u tuber i was with u from the begining and not planing to go any were till the end and that name is special to me to i dont know why it is but there is somethoing about it
Peter Caine Dog Training,910198,I heard from my sources at the MIB that at night Trump lathers his body in a mixture of ground up fireflys and oreos and has 666 trained chinchillas to lick the lotion off his naked body. This is in fact the real reason his skin colour is often mistaken for spray tanned! Heard it here first folks! 😉
Brave Wilderness,31396,If i see it i will crush it 😏😭😭😏
Gnat Vova,1390221,great video my friend have a lovely day xxxxx
NeSekret TV,637134,Thank you for being heroes!!! You are amazing people!!! Your mission is important !!!    Улан-Удэ гордись таких Людей  Имеешь !!!! Мне Очень нравится как вы организованны как вы работаете слаженно как вы друг друга поддерживаете  когда СПАСАЕТЕ      Ж И З Н И  !!!   И что самое главное вы спасаете не просто с ответственностью а  ещё и с глубокой Любовью и Состраданием к нашим  Братьям меньшим  !!!  Вы номер один в России и во всем постсоветском пространстве Сколько смотрю YouTube вижу много Добрых порядочных настоящих людей  -спасателей ну чтоб так с таким подходом только вы!!!  Вы номер один...При полном беззакониипри финансовых махинациях (если выделяют)во многих питомниках так же воруют деньги которые дают или собирают  Люди Добра -  волонтёры... и    т.д  да вы сами знаете что где и как происходитлучше чем я ... И вот при всём этом  хауса - зла... Вы творите  Чудо Добра !!!   Добро должно быть с кулаками  Спасибо Спасатели Жизни!!! Доброта Спасёт Мир !!!  ❤️ &  ✌️
Hope For Paws - Official Rescue Channel,750246,OMG animal heroes thank you
bodhispeak,508832,lions dont live in a jungle idiot
Chriskillergaming,2476056,We dont fucking loose 5min later shit happens ya know
rsdfreetour,350155,Thank you !
Brave Wilderness,2351022,Do one on katy Texas pls so I can see you in person
Brian Barczyk,1165217,Where is the green python? The green tree python?
Zak Georges Dog Training rEvolution,1009224,And I think Clyde might have a drinking problem.I died laughing
MarineDepot.com,1720193,Ill have some clowns  RBT mushrooms cleaner Shrimps snails some hard corrals
BirdTricks,2381235,So helpful!! Thank you!
Gone to the Snow Dogs,1394322,Maybe Memphis was looking out the window for the fire truck!
Talking Kitty Cat,1631252,DID ANYONE SEE THE BABY IN THE CORNER?!?!?
Smarter Every Day 2,918281,Yes ! Please YES !
Chris Cheng,1928779,Your colouring takes me to such a happy place. Thank you for sharing... Stay blessed :)
Jaxson Anderson,119527,JAXSON!YAY!
Brave Wilderness,415018,can you make season 3 and 4 and so on!
David Jones,1626652,A week and a half later power will be restored.  :)
Brian Barczyk,1011453,Brian you should have your snakes ordered with a number or Id so you can find them easier.
Catskill Animal Sanctuary,1594880,Shes so beautiful!
,1095249,its my request to you please dont bleach armpit hair it looks beautiful in black color I hope youll think about it
Brave Wilderness,2213950,I feel so bad he does this only for his subscribers I don’t encourage you doing this but you can stop this whenever you want like this so he can see.
eMusic Talent,2340795,i wouldve pressed that gold button and gone totally bananas no doubt!
Robin Seplut,1562460,AWWW THATS ADORABLE!!;
Hope For Paws - Official Rescue Channel,1810356,I had tears inky eyes when L    i the first puppy 🐕🐕
Gohan The Husky,885550,Like if youre  watching before 10 views
Brave Wilderness,176927,I died seriously
Talking Kitty Cat,2354904,He got the same food as me for my cat
Zak Georges Dog Training rEvolution,135488,I got a new puppy yesterday didnt watch this video yet her name is Hazel and I watched this video then I heard hazel and Im like oh s**t
Brave Wilderness,1354142,I could never spend a day in a rainforest 😬😨
Keedes channel LIVE,1489001,Няша😻
Brian Barczyk,2505562,Thanks for sharing your trip and all the amazing things with us. Your vlogs have been absolutely great so far and I cant wait to see more. Sometimes criticism is great and necessary but in this case with your trip it is uncalled for because it is an experience and you have to take the good with the bad. We should all be able to understand what you condone and what you dont. Ive given you some crap before but it was from the heart and I felt it was important to you your vlog and your philosophy. The haters just freak out or hate with no good reason or any logical sense. Keep up the great work Brian listen to the right people ignore the idiots! = )
Real Shock,257761,Вариант 4
Brave Wilderness,2408109,AHHH! My heart drope to the floor when jungle was chasing coyote! To Cute!!!
Brave Wilderness,1027372,coyote
Gohan The Husky,1936592,Lol the first one was more like I’m tired stop 🤚🏼❌😂🐶
Brian Barczyk,843914,Wassup charma!!!!!
Alex Knappenberger,1139223,Shepherd*
Rachel Oleary,2296198,My favorite!! I learned new stuff! Thanks Rachel!!
Brave Wilderness,244682,After watching this video I went out and consumed some tasty fried rice.
Vet Ranch,2344440,Wait why couldnt you just sew his thingy back up? Where it was cut?
Dragon Tamer Reptiles,1503204,Congratz on clutch 1 Jared very nice looking animals! Good to be back cuttin eh? Cant wait to see whats in that single egg clutch! lol
ViralHog,1264395,EYE dont understand why ppl do stupid Crap like this
Brave Wilderness,1665917,I have a feeling he can beat a shark in a 1v1
Luvla Ministries,36239,que ladilla de video....por dios.
Kitten Academy,1683450,I love cats and cittens
Brave Wilderness,1278097,I like the raptor limb the most
Creative Pet Keeping,1466343,I have a female betta that was mislabeled as a boy as well shes not a koi though
Solid Gold Aquatics,1026271,taco cat spelled backwards is taco cat
Mr. Max T.V.,708605,I love  maxwell!! So cute
Gone to the Snow Dogs,1776920,How about I get your French did you like clothes and come on down and refresh it please
RPMIDAHO,649516,Great looking holster working well.
Hope For Paws - Official Rescue Channel,1182965,you make my day keep up the wonderful work😄😇😓👍
Brave Wilderness,17897,coyoty deserves 1000000000000000000000000000000000000000000000000 subscribes
RaleighLink14,2174549,OMG Raleigh how many of the same videos do you have to put out the people that are disagreeing with you are not saying Helmets are god they will not save you from head injury 100% of the time but what do you think would happen to this girl if she didnt wear the helmet. Her brain would probably be splashed up all over the ground!!!
Stonehenge,436356,😱😱😱😢😢😢😢
Mr. Max T.V.,2084882,SOUND THE ALARM !!!!!
Worlds Fuzziest Videos,109290,Awww
WORM GITTER,2230517,Too funny and I thought u were find a worm stash. It Took 4 resets of my modem  to finally  see it through crapy internet  but I was so well worth the the ending .
Cockatoo Luck,1907886,Car naps on beautiful weather days are the best! 😊❤
Taylor Nicole Dean,1215143,Balto
Gohan The Husky,2202418,Make him a ice bath he will like it!
Colorado Bigfoot,2357127,Always good stuff @ Colorado Bf.  🌲hats off to you marc . 😄👣
Brave Wilderness,2367709,ive been to this exact place its called jurasic falls
87Beamara,298393,Tanto tiempo que no había visto una de tus vídeos que la última vez que lo vi fue hace como 2 años atrás hoy día estaba con mi gato y me acordé de tu canal y lo busqué y la primera impresión fue tu bebé me impresione ya que tienes un bebé y muchas felicidades por ello y saludos moonpie
Steff J,931354,ooooohhh its on
Приколы с котами,2460323,Какая жестокость - п.... Ить кота ! Спрей купил  попшыкать и все ! Сейчас арсенал целый !!!!
askchubbs,2225989,It was during this video and it was some Khufu nug run shatter dabs from DT dispensary in Tuc
Nora Oscar & Jack,765269,SMH this Beat is sick 😀
Bulkreefsupply.com - Saltwater Aquarium Supplies,1395875,Looks like radions may finally be more desirable to me than my AP700. That disco effect was completely unacceptable to me but with the diffusion plate its a whole different story.
Brave Wilderness,120202,haha you got me Coyote GG
Taylor Nicole Dean,501381,Petschmo!! I love how your making fun of Petco but not directly saying it! I love your videos and will consider sibscrobing
Brave Wilderness,2107368,That for real looked liked a booty hole at first sight close up then the green stuff oh GAWD
Brave Wilderness,2269436,i want the coyote
ashi,364558,Oh gosh this is amazing I cant even ogmmfmfgmfmmgmgmgmgmgmmgmgmgmgmmgmgmgmgmgmgmmgmgmgmgmmgmgmgmgmmgmgmgmmgmgmgmgmggmmggmgmgmmgmgmtmmtmgmtmgmgmgmgmgmgmmgmgmgmgmgmmgmgmgmmgmgmmgmgmgmgmgmgmgmgmmgmgmmgmgmgmmgmg
ViralHog,428219,This is fake. At 0:25 the uniform is all wrong. There is no shoulder straps no identification nothing. The parking ticket on the window is also fake its one of those prank ones you can buy online.
Brave Wilderness,1986078,I know people who have pet tegus there not dangerous
Brian Barczyk,2100109,Happy Thanksgiving everyone! Everyday I start my day with your videos is an awesome day and for that Im thankful!
Berner415,2377510,slaaaaaaaap
Taylor Nicole Dean,438096,ohhh ur little mouse likes to throw his food everywhere.... Sounds like my crazy little rattie Brutus
Amethyst Is Cutie,1708583,I saw Peridot and Lapis Lazuli in the thumbnail...Why did you scroll down this far?
Brian Barczyk,181856,chewy doing it gooodigood
Mạnh CFM,1929223,deo
Robin Seplut,1189040,Why he did not give food
The Dro,215737,I needed this today. I swear Im beginning to think I was a fennec in another life LOL . Hyper wants to be loved on/but dont touch me! and loud as hell when I find it necessary 😄 also my mom tells me that I was bad about eating black beetles when I was a baby/toddler (I guess they would get into the house when they brought firewood inside)! Anyway the thought of possibly having a neurostim device placed along with a referral to a well-known pain specialist in Winston Salem....
Brian Barczyk,1815718,Have a great day Brian!! Mine just started!!
Taylor Nicole Dean,966948,She has so many ANIMALS OMG😨😨😨😨
Mike Johnson,711805,Send me the dark side of the moon shirt
Gnat Vova,641574,Wonderful video. Appreciated. Come to visit us. Thank you....
Cole & Marmalade,1964983,this probably happened because someone left four or so cats in the house and then abandoned them so this happened...if youre gonna leave then let them out of the house first at least and get them neutered
Brian Barczyk,2214380,Keep your pets youve worked hard to get to a point where you can have them.
Simply Rox,475576,Love videos like this
Mr. Max T.V.,500602,I love it how he cant do the screaming without changing positions. Too cute.
Talking Kitty Cat,671558,Today is December 20th not 22th lol
Think Like A Horse,169792,Just to put it out there those rubber-nose hackamore arent always a chain or wire core. I saw one at a store thats completely rubber. And a leather curb too nice to see one without chain.
Taylor Nicole Dean,551306,Name the Mexican black king snake moonlight
Mạnh CFM,1802993,Link nhac
Brian Barczyk,258069,I lovef both costumes cute
Brave Wilderness,1202402,Awww so cute!
MonkeyBoo,1838404,if you are wondering why boo has yeast infections...its soap getting into his penis....make sure you rinse boo better
Brave Wilderness,1038922,Is he ok?!😨 Coyote!!!
FROSTY Life,622456,I have a rescue dog that looks just like Sadie. Have you had her since she was a puppy? My dog came up from Tennessee in 2009. He looks to be mostly Lab. He is longer in the body than most labs and has long legs. They look almost identical. Hope you get good news.
Brave Wilderness,719194,You should do a shark diving video
RaleighLink14,2361858,Green horse and green rider! Yikes!
Smarter Every Day 2,1838760,Yep!
Richard Roeper,745944,Great review haha glad you spoiled it so we didnt have to see it!
Brian Barczyk,1711686,make the mouth pink and people think its a real snake damn I was duped
Brave Wilderness,696862,I love how cameraman is involve
HammyLux,1775337,Soooo cute!!❤️❤️🦄🦄🦄🦄
Brave Wilderness,1026735,What about mr scars
Brian Barczyk,1826201,Whats the sex of the ball python thats the surviving twin? When theyre ready to ship Id be very very interested!!
Gone to the Snow Dogs,892290,:)
TCTV,124058,em đọc cmt của các bác thấy nhiều ý kiến trái chiều và đa số nói rằng đây là ni tơ lỏng thật tiếc cho 1 thế hệ học sinh việt nam có bác nào làm cho nito hóa lỏng ở -35 độ thì hãy đi lĩnh giả nobel hóa đi nhé
The Dodo,1253346,I was waiting for the dog to jump overboard LOL.
Brave Wilderness,637078,mark is a living meme
Mr. Max T.V.,2321990,😊
Brian Barczyk,1378955,I only started watching you today but i love your videos. I have a big phobia of snakes and watching your videos have helped me to see that snakes can be nice so thankyou😊
Brave Wilderness,1126506,Can you make a video on the proper attire to wear whilst hiking and whatnot?
Brian Barczyk,1453529,Rock. Id like a pet rock
Vet Ranch,1507512,7:15 smile more roman atwoood
Vet Ranch,1632096,I would rename him spider. After my favorite eunich
The Dodo,1221973,Aww he was tearing.
The Dodo,166268,He went from GET THIS GUY AWAY FROM MEH to OMG I LOVE YOU WHERE YOU BEEN YOUVE CHANGED BUT YOUR SO COO LOMG I MISS YOU
Keedes channel LIVE,1837576,вы очень хороший люди
HammyLux,1483739,Pam do you remember Lincoln Logs? The only reason I had them was because they were gifted but I never had legos growing up. I also remember the huge cardboard bricks you can make forts with. The closest I had to playing with legos was an off brand my grandparents had for us. I also remember wood blocks we could use to build things but never legos.  Legos were always to expensive for my parents to get.
Заметки Собачника,2291036,Привет ПАША! ХОРОШИЕ КРАСКИ КАМЕРА ПЕРЕДАЕТ! КАЧЕСТВЕННО СНИМАЕТ! БРУКЛИН ГОРОД КРАСНОГО КИРПИЧА??? )) ЛАЙК ДРУГ УДАЧИ!
Brave Wilderness,2395302,U ok?
MonkeyBoo,187060,hi Boo i love you can i get a fidget spinner please
K-N-S Farm,1463742,Dung beetles are SO groovy!   I wish we had them in Maine!
Real Shock,657473,0:06 что это за фильм???
Brave Wilderness,953066,I kept hearing nudes lol
Brian Barczyk,1862263,Brian you definitely must still shelled out a bit of money the ones that I have seen run-up to about $6500 then I did see a the wharf cow reticulated python for $28000 that is unbelievable but congratulations on your new animal
Paws Channel,1869710,what the fuck is wrong with you why you not do anything
FishOfHex,2462724,Thank you for the opportunity sand promotion Travis.
Brave Wilderness,2040442,congrats on  1 on trending
MIDNIGHTSKYWOLF,525490,what a live show and what are you going to talk about in the live show anyway midnight?
Viktor Larkhill,1974093,So she found her beloved dog but she still didnt keep him? talk about irony!!!!
Taylor Nicole Dean,781106,WHEN WILL YOU LEARN YOUR ACTIONS HAVE CONSEQUENCES
Vet Ranch,494939,The reason why the bulldog was like that is because it has been put under natural incest for hundreds of years
Viral Maniacs,459664,How talented is this ppl😫OMGGGGGG🤑
ViralBe,2488844,Forgot to include the color white as a GSD color
GoHerping,2149192,Your the bomb
AQUAPROS,2342458,newts
Vet Ranch,1143567,Very cute doggo
Taylor Nicole Dean,1834119,What happened to the hedgehog she rescued?
Gotcha The Cockatoo,353056,He or she is soooooo cute
Snake Channel,2316682,Title should read Humans watch a cow die by strangulation / drowning then killed a snakeWill someone think of the anacondas!!!!!
Think Like A Horse,2021927,Hiiii boys! I think they both look pretty darn good 😊If you think Mr. Ts back is starting to sway you can push your fingers into his belly and get him to lift his back a few times a day...a horsey ab crunch haha. I worked on that with my gelding when I first bought him and I can tell you it made a huge difference!
MonkeyBoo,688405,You guys are awesome monkey boo is so cute and precious I hope you keep up the good work
Brian Barczyk,990635,Cool quills
Brian Barczyk,549128,I know he’s hiding away a lot but can you take your Snapping turtle out and show em off a bit
Brave Wilderness,1920551,blokt
SlideShow ForFun,430552,Any body know whether the mother cat got her injury fixor does she still need to drag to walk?
Brian Barczyk,2257997,I commented my info brian next time your in stl please let us know !!
Brave Wilderness,1071059,i love this show
Brave Wilderness,510523,That is a alien life form kill every single one of em
Brave Wilderness,1713981,Sloth
NeSekret TV,722443,кто посмел дизлайки ставить !!!!!! 😭😭😭😭😭
Brave Wilderness,1302822,Raptor Fossil
Vet Ranch,1839145,Shawty thick😍😂
Riot The Red Fox,1125620,Bless your lovely fox and happy birthday to him. His cuteness always make my day. Love him!!!
Nichole337,2254612,Cooking yo ~
PENNSYLVANIA BIGFOOT & DOGMAN RESEARCH,2036522,Oh my gosh Doc awesome 👏🏻 find!!!!!!
TheMeanKitty,2150398,LOL too cute!
β-Cantaloupe,6028,Its a Trap- Admiral Ackbar
New York Bully Crew,350754,rip mr hicks
Gone to the Snow Dogs,1840033,Yay
Einstein Parrot,290413,ONLY Einstein could make that adorable to watch...lol
Brave Wilderness,1336630,And this is why I stay in cold Belgium
MonkeyBoo,1501291,The head whip is like a happy dance! 💗😍
Brave Wilderness,1182433,Do the tasmainian devil
Nire aka Niray,866469,dami cha bro. full version pani banaunu paryo
JOHN 3:16 Video Ministry,1080514,They found the REAL site that the Temple was built on and it was not he temple mount/dome of the rock!!  So Jews have been wailing at a wall that wasnt part of anything but part of a fortress!
Exploring Alabama,1417843,That was some really beautiful slag. Awesome knife! Great jumping over the slide. Great Creek Walk!
Vet Ranch,1375731,He was so happy even with sore eyes bless him. So glad you eased his pain xx
Viktor Larkhill,1095495,So sorry for your loss. Praying for you during this difficult time.
The Fatman,389219,I think thats the nicest of the four mate enjoy.👍😀☘paddy
Gone to the Snow Dogs,206397,man you got a lot of dogs! 😗😗😙😚.soooooo cute!
GoHerping,1132457,Those tee shirts from target are really comfortable.
Nic and Pancho,1644884,A present was good❤️Pretty clothes💖Pancho cute♡
Viktor Larkhill,1830683,so adorable😘😘.Jesus is the truth the way and the life!!
Brian Barczyk,1433453,I love seeing Laurie so happy
Kamp Kenan,377621,You should make a whole video of Slinky
prehistoricpetstv,239250,Hornet swarm or bees
Mr. Max T.V.,192615,Merry Christmas Max and Dan I love this Christmas tradition!❤️
Brian Barczyk,2377756,Logans mum was less of a pussy than faze adapt
Brian Barczyk,1592456,5:57 i didn’t know your turtle is a vlogger;)
Robin Seplut,737189,awww  PISICA !
TobyTurner,185869,Magic
Mạnh CFM,1765454,Sao lau co video v k
꼬부기아빠 My Pet Diary,2461434,쵸비까지 두마리가... 아 심장충격이 두배ㅋㅋㄱ
Brave Wilderness,305659,two words: komodo dragon...
Viktor Larkhill,1196790,God bless you all!!!
Brave Wilderness,1287035,4:00 sponsored by Glad?
Brian Barczyk,422055,I live in Dubai... But im Hungarian.
Reef Builders,2248788,Looks awesome. I want some flowers..
Vet Ranch,727921,what kind of breed was the dog... looks like a lab but i just wanna make sure...
stacyvlogs,1422239,Take some time off youtube. I’m sure we all can wait for more Dogcraft and mystic Mesa etc. your family is more important. 😩❤️we love you
REALITY TALK REVIEWS,1706127,I hate people my age that think theyre the center of the universe. No one can be wrong anymore or else they flip out and get triggered. My buddy almost snapped on me because I said something wrong about his hobby and he acted like I was saying I knew better and was right which I totally wasnt. I dunno I highly dislike dealing with people my age.
Peter Caine Dog Training,2368566,Very simple. If it is real as you claim? All you have to do is send a postage stamp sized piece of flesh and a few hairs to Dr. Meldrum whose address is listed below (from TBJJ24s post) and while he (or no one else for that matter) cant tell you its DNA from a Bigfoot he can tell you its from an UNKNOWN primate This will confirm to all that youre not just a hoaxing piece of shit with a foul mouth.To me there is no better way for you to say IN YOUR FACE! you skeptics!  Otherwise its not looking good for your claims of veracity.
Amethyst Is Cutie,1671867,Give me a shout out
Olympus Reptiles,3020,Awesome video ! snicker bar for snakes!! lol I love it!
Brian Barczyk,2315596,Name your tarantula after where I live in orange county but just the orange part
Cole & Marmalade,1620225,I could watch these cats for days.
Brave Wilderness,2158799,Being sprayed by this little fellas is the worst. I got sprayed by one on my way to work. It was snowing so bad I was using an umbrella. Walked all the way back home smelling like...I dont know how to describe it. Even the umbrella was all sticky and stinky. I had to tell my boss I was missing work because I was sprayed by a skunk. Went to work next day after spending a whole day scrubbing the stink off. I was the joke of the day but wasnt paying much attention because that stuff from the skunk went also into my nose and I smelled it for a few more days.....thats little encounter with urban wildlife.
Gohan The Husky,1362416,Im gonna get a Husky because one of the reasons is to teach t to attack my friends brother on command (but it will most likely never happen because of how lazy I am to train dogs)
juggernautreptiles,1007044,Man huge congrats. You got a ton of outstanding babies. Just a epic clutch.❤️🐍❤️🐍
Steff J,1481386,my favourite flower is the blue orchid!
ViralHog,684003,900. commentok bye
Taylor Nicole Dean,1034364,YOUR BROTHER IS GREAT OML
Peter Caine Dog Training,576447,Wish I could visit your exhibit in person.
DarkDynastyK9s,1162118,Dynasty niggas 🤘🏼
ViralHog,156746,sounds like he is copying the machinery somewhat.
Brave Wilderness,832947,did u spray paint it blue off camera. lol
Robin Seplut,2419409,Cute video.
Brave Wilderness,475477,catch a sea torttlo
Happy Tails,166462,omg
Kyles Fish room,1513567,Very nice ive been considering one these for a while now. I like the unique look of it even if it is just a vertical bowfront.
Joey Cuz,998747,Nutnfancy would be jealous! 😉❤️
PENNSYLVANIA BIGFOOT & DOGMAN RESEARCH,1903638,whats your email?
Gohan The Husky,397339,Im slowly dying Gohan is too cute! !! This video was funny
Brian Barczyk,1289694,California!  Livin in the beautiful Sonoma wine country
Brian Barczyk,375601,He looks kind of like a Zucchini.. Maybe name him that?
Flip Aquatics - LupDiesel,1616766,thank you for sharing this video! Even though it is off the beaten path of your normal videos I LOVE IT! I love the idea of a frag tank especially one for profit please make more videos like this how tos and any other info would be gobbled up like duckweed in a goldfish pond!
ViralBe,1608697,Golden retriever is best 🐶🐶
Brave Wilderness,2305158,Click Bait
Mr. Max T.V.,1370938,DETERMINED OR STUBBORN?  Both!!  He is showing you who is boss!!Cockatoos Rule 😂😂😂😂
Brave Wilderness,1704914,he was boolin down the dirt path
TobyTurner,2236558,Honestly I feel like we could be bffs Tobes. Yer a totally kewl dood.
Taylor Nicole Dean,157683,i loooovvveee red ear sliders i had 2
Brian Barczyk,2099168,Gorgeous ball pythons!!!! Love it love the snake raving :)
ViralHog,1721569,I definitely would have 💩 myself for sure 😭
Info Marvel,435792,muy buena observación Lex. puede que Tony tenga una enfermedad pero con tanto tecnología que hay en el UCM puede que halla cura para el...total él es el hombre de hierro...Saludos
Hope For Paws - Official Rescue Channel,429873,Its raining down my underwear 😂😂😂but good job
Floppycats.com,2486804,Wonderful product arrival video Jenny!  So sorry to hear that Charlie hasnt had much of an appetite lately.  Hope he will eat some of the Halo Food!  Ahhhh Chiggys lurve affair with packing paper...so delightfully cute!  Looking forward to the final product review!  Big hugs & lots of love!  :)  <3
Cymatics.FM,157218,Wow... What a prize... 😨
ViralHog,2351054,please explain to me how this has 7000 views and its some how trending?
Paws Channel,202604,Es terrible de como se dejan esos animales solo por una perra
Alex Nomernoy,1813825,а что с рюкзаком-то?
Brave Wilderness,1903962,never click baited always finds the things we want.
Brave Wilderness,892840,WHY SPIDERS CYOTE WHY
The Dodo,2299514,So heartbreaking. Best of luck to Coco.
Balloon Animals,418110,Boyyyyyyy!!!!!!!!!!!!
Viral Maniacs,2434993,Okay so what the fuck? Misleading title much? The first one is pretty good but doesnt belong in a video with that title? Please? What the fuck? Are you just stupid?
Info Marvel,984667,Esta teoría es interesante lo mas probable es que Thor quiera recuperar su martillo y su ojo  y con respecto a la maquina de pronto sea un portal de thanos o una maquina energética
NewsAdventureTime,2234697,Youll float too KO
Brave Wilderness,696091,Id say you could make an omelet with the ingredients in that silver pot / bucket. Am I right?
TobyTurner,1317,Toby you look very nice in the video lol. I am doing good by the way thanks for asking. Enjoy your car.
